Title,User Reviews
The Silence of the Lambs,"['As good as its notorious reputation suggests.', ""Dr.Lecter, I'd like to see you again..."", 'Rare to experience a dark n twisted thriller aided by top notch performances, tight script n direction.', 'In a Class by Itself', ""A Story And A Character That You Can't Forget"", '""The Godfather"" of all thrillers', 'A Grand Thriller', 'A rare contender for the best film of all time', 'A thrilling must see', 'A truly remarkable film', 'Perfectly executed dramatic thriller', 'Class Act', 'Absolutely Brilliant.', 'Truly enthralling film and not one to forget', 'Very Effective Thriller But Ultimately Overrated', 'Some Careless Stitching', 'Classic psychological, suspense brilliant - masterpiece best horror thriller ever made!', 'ONE OF THE BEST FILMS EVER MADE! A MASTERPIECE!', 'The granddaddy of all serial killer flicks', '""I\'ll help you catch him, Clarice"".', 'A gripping film that well deserved its Oscars', 'Somewhat Silenced By Time', ""Suspenseful doesn't come close!"", 'Best served chilled with a nice Chianti', 'One of the Greatest Thrillers of all Time.']"
Saving Private Ryan,"['Hard to Rate ... been there', '""Sergeant, we have crossed some strange boundary here. Our world has taken a turn for the surreal"".', ""The only movie my grandfather couldn't finish"", ""A war film you simply can't miss."", 'War is hell, and ""Saving Private Ryan"" peeks into the gates of Hades', ""Everything you've heard is true"", ""Actually it's pretty GOOD history"", 'A strongly acted, powerful film that is unashamedly brutal!', 'I Agree: This Is The Best War Movie Ever Made', 'The most realistic harrowing battle scenes ever filmed...', 'This should cool off the Rambo wannabes', 'This is one of the greatest movies ever made.', 'Excellent despite some Spielberg slips into sentiment', 'One of the best war movies ever made', 'Horrors of War', 'Numbing experience of SPR redeems baby boomers...', 'One of the most outstanding movies ever', 'Breathtaking', ""One of Spielberg's Most Haunting and Visually Stunning Films"", 'The Greatest War Movie Ever Made', 'Best movie of world war two', 'One of the best war films ever made.', ""WWII Films Don't Get Much Better"", 'Fictional yes but combat authenticity was genuinely real.', 'amazing battle scenes, subpar story']"
City of God,"['A Brazilian masterwork', 'Gangs of Rio', 'Stunning - in every sense of the word', 'Magnificent, gut-wrenching and utterly compelling', 'Shocking, Stylish & Brutal Story', 'The Godfather of Rio', ""It's a masterpiece."", 'One of the best unseen foreign films', 'Down and dirty', 'Cidade De Deus', 'Raw and cult film', 'One of my top 10', 'The Other (Sad) Side of the Wonderful City of Rio de Janeiro', 'Sprawling crime masterwork from Brazil', 'The Best Film Ever Made', '""One of the best films you\'ll ever see!""--Roger Ebert, does it live up to the hype?', 'An unsparing portrait of a sociopathic generation', 'Phenomenal', 'Almost Too Much to Watch', 'City of God was Incredible', 'Excellent and violent film based on real events', ""In terms of movie-making, there's nothing like it."", 'a horrible movie that I strongly recommend', 'Easily my favourite movie of all time!', 'The gangs of Rio']"
Life Is Beautiful,"['Love is Beautiful...', 'Funny, entertaining, and amazingly intense and dramatic.', 'Outstanding', 'funny and disturbing', 'An excellent war movie!', 'A satire set in a concentration camp, tough a hit internationally, was thought by some critics to be in bad taste...', 'One of the best movies ever.', 'A superb tragi-comedy', 'The most aptly named movie - A classic', 'A Movie About Hope', 'A very moving, powerful War film.', ""The Best Movie I've seen for a long long time"", 'The best foreign language film I have ever seen.', 'Visually stunning, but uneven. For me the second half was better than the first', 'Roberto Benigni is a GENIUS', ""One of the Best Movies I've Ever Seen"", 'A beautiful film... but not an entirely perfect one', 'Slapstick humor in a holocaust film?', 'Marvelous tale about a likable Jewish protecting his son and wife from horrifying concentration camp', '""Nothing is more necessary than the unnecessary"".', 'Courage Personified...10/10', 'Bon Giorno Principezza!!!!', 'Unlike Anything', ""Begnigni è Genio (Begnigni's a Genius)"", '""Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault."" (Oscar Wilde, preface to ""The Picture of Dorian Gray"")']"
The Green Mile,"['"" I knows you think I\'s a powerful man, but the darkness scares me boss ""', 'One of the most penetrating films of the past several years. **** out of ****', ""'m sorry for what I am"", 'The Least Of us', 'An incredible movie.', 'Do not live your entire life without seeing this film!!!', 'A one of a kind classic', 'Like the drink only not spelled the same', 'this movie can tear emotions out of anyone.', 'Great', 'Mixing an emotional drama with a Miracle!', 'A rare gem of casting and direction.', 'As wonderful as the book!', 'Rest in Peace Michael Clarke Duncan', 'True to the book, which is odd for a movie.', 'Rest In Peace, Michael Clarke Duncan, you legend.', 'Warning to Teamsters: Bring 5 Hankies', 'It will stay with you for a long time.', ""This movie blew me away, made me laugh, made me cry and me truly understand what the term 'sad' meant"", 'Film was invented for creations like this.', 'Overlong, but haunting, thought-provoking, moving and engrossing', 'Supernatural prison drama is a feather in the cap for all involved', 'Another period prison based Darabont masterpiece!', 'Amazing and captivating rendition of the novel.', ""Should be higher in top 250. One of those movies which makes you cry and admire creator's mind. True Masterpiece""]"
Terminator 2: Judgment Day,"['Note to Hollywood: This is how you make an action film.', 'Movie that everyone should see!', 'This is the sequel that dreams are made of.', 'Hasta la vista baby', 'This Terminator Sequel, may prove to be the best sequel ever made.', ""He Said He'd Be Back...and He Certainly is!"", ""The best action sequel of all time and one of the best Schwarzenegger's movies my personal favorite"", 'Great', 'A bigger, richer sequel that is every bit as fantastic as its predecessor and even surpasses it in some areas', 'The purest form of action cinema there is', 'Awesome action sequences, terrific sound effects n superb cgi. The chase sequence is awesome.', 'surpasses the original', 'Great action and much more', 'Words cannot describe the greatness of this movie', 'One sequel that out does the original', 'THE Best Action Film Ever!', ""Schwarzenegger's Best Film, Hands Down"", 'It pushes the limits of greatness', ""There's a reason this is so appreciated"", 'Persistence Personified 2...', 'The most iconic Time Travel and AI Rebellion story with the greatest Action of all time.', 'the best action film of all time, and NOT due to the CGI', 'One of the best action sci fi movies ever made.', 'A blazing big-budget sci-fi thriller, very creative, to be entirely experienced...', 'The Best Movie Of All Time']"
Star Wars: Episode IV - A New Hope,"[""One of the most successful movies of all time (and I'm not talking about the Box Office take)"", 'A classics, phenomenal and arguably the best sci-fi flick masterpiece!', 'One for All & All for One...', 'The original version was brilliant...', 'A film that changed the industry forever.', 'Legendary piece of cinema', 'The Best of Sci-Fi Times,the Worst of sf Times', 'The classic...', 'The Force will be with you, always.', 'A milestone in film-making- a superlative sci-fi movie', 'The greatest cinematic epic of all time begins here.', 'Where It All Began-----10/10', 'In A Galaxy Far Away................A Franchise Was Born', 'A long time ago in a decade without CGI...', 'In 1977, in a galaxy far, far away...', ""Not just a great movie. It's important"", 'Never gets old', 'Cinema Classic', 'The Movie that Changed My Life Forever!', 'A Long, Long Wait For A Movie Far, Far Away', 'From the Lucasian Chair of Entertainment - a masterpiece', 'Just plain fun!', 'A long time ago in a childhood not too far away...', 'A great movie - for its time', 'the landmark space fantasy']"
Back to the Future,"['So good in so many ways', 'A Time -Travelling Classic', 'How could anything be more fun than this?', 'Great movie', 'A classic masterpiece the original the only best my favorite time travel film of all time', 'A film you can watch time and time again.', ""An '80s classic that never disappoints"", 'Gets Better With Age', 'Gotta get back in time! Get back Marty!', 'Huge fun.', 'Time Travel Movies Are Always Brilliant', 'Absolute Classic', 'Part 1-Goodness gracious! Great balls of fire!', 'adorable', 'Let your imagination fly', 'Great Scott! Back to the Future is a great time-travel movie!', 'The Lost Blockbuster', '1.21 giga watts of awesomeness', 'As close as you can get to a perfect movie', 'Typical 1980s Film That Still Delivers', 'You gotta come back with me...', 'Proof that Hollywood once was capable of putting magic on film', 'Best Part of a the Best Movie Ever', 'So Much Fun', 'Pure Genius']"
Spider-Man: Across the Spider-Verse,"['One Step Above Masterpiece!', 'Masterful IMAX Spider-Man', 'One of the best sequels to anything ever made', 'A new Empire Strikes Back', 'Okay This Is Peak', 'My feelings about this sequel are currently glitching', 'My movie of 2023 so far.', ""It's good, but I still like the first one better. (7.5)"", 'This is one of the most overhyped movies I have ever watched.', 'Perhaps not for everyone.', 'Across the Universe Of Fun, Excellence, and Adventure: Spider-Man Makes A Connected Web Of Wow', 'Wanted to Love it, But Just Liked it', 'the greatest spider-man film ever.', 'So Overhyped That I Felt Disappointed', 'Decent, nowhere as good as the first', 'The multiverse has opened the doors to the Spiderverse', 'Perfect', 'Half of a movie', 'Slow, overlong, and cliched', 'Many theater goers walked out before ending', 'Disappointing', 'Wow, just WOW!', 'Audible groan from the cinema when it finished', 'I Was Bored To Death!', 'Spider-man: Middle of the Spider-Verse']"
Spirited Away,"['Strange, touching and beautiful', 'a minority dissenting view', ""I don't really know what to say."", 'Best animated film I have seen!', 'An Amazing Achievement in Animation.', 'Exceptional, but perhaps not so much for the casual viewer', 'A stunning, intoxicating, magical masterpiece', 'Great', 'Dub or sub?', ""I'm so confused..."", 'Over-Appreciated', ""I just didn't fully get it"", 'One of the Greatest Movies Of All Time', 'The audience is even more interesting than the film', 'A Fantastic Film (most literally)', 'better than Disney by a long shot', 'Prepare to be enchanted!', 'I have no strong opinion about this movie either way', ""Even if anime isn't your thing, this is a very rewarding movie."", 'A childhood classic', 'I disagree with Gazzer-2', 'Not for me I guess', '""Finish what you started, Human.""', 'Weird and massively over rated', ""I can't speak for the original or sub, but the dubbed version is a bad movie""]"
The Pianist,"['Excellent, depressing, but excellent', 'A Masterpiece. Awesome acting by Brody.', ""A haunting film, one that you won't forget"", 'An astonishing film', 'To hell and back.', '""You musicians don\'t make good conspirators.""', 'Stoic, haunting tale of survival', ""Adrien Brody's Minimalist Acting Packs Maximum Emotional Punch"", 'Definitively an inspiring epic...', 'terrific movie, if relentlessly gritty and realistic', '10 out of 10', 'Tour de Force', 'Heartfelt and enthralling', 'Haunting masterpiece that you may only be able to watch once..', 'Brilliantly Narrated, Visually Stunning!', 'Survivor', 'Lacks a bit of character development and not as powerful as I expected it to be', 'Warsaw Fact...', 'Unforgettable', 'Adrien Brody at his best. A True heartbreaking story!', ""It's a captivating film."", 'Good, but imdb voters are overrating it', 'Spilzman? What a beautiful name for a pianist...', '6.3/10 - Wanted to Like This More', 'Intense biography about a Polish pianist named Szpilman during the Warsaw ghetto']"
Parasite,"['One of the best films of this decade', 'You name a genre, this movie covers it', 'Engaging as a drama, with an intelligent social aspect to it', ""Meritocracy: it's metaphorical"", ""For those who didn't like the movie because of its second half"", 'Thoroughly entertaining', 'A true masterpiece.', 'Thought It Might Win Best Foreign Movie', 'Great', 'An original dark comedy about class struggles', 'Totally Unique', 'Achieves what Jordan Peele set out to do with Us', 'A black comedy on social inequality', 'Multilayered portrayal of the real Korea', 'Incredible.', 'A brilliant piece of art which will slowly grows on you!', 'Thy shall not ridicule fellas with body odor. Definitely deserves the best picture award.', 'Parasite Review: Comedy, drama, suspense, and yes, even horror.', 'Parasite', 'FUNNY, TURNS SUDDENLY TWISTED, THEN SAD', 'Lacks any realistic human dimension', 'Class struggle. After Karl Marx and Victor Hugo, here is Joon-ho Bong', '""If you make a plan, life never works out that way.""', ""Bong's Brilliance""]"
Psycho,"[""It's the Little Things"", 'Always holds me from beginning to end...', 'The More I See This, The Better It Gets', 'Movie At The Crossroads Of Time', 'A Hitchcock Masterpiece.', 'Hitchcock and Herrmann', ""Anthony's Norman"", 'A film that you see once, and never forget...', 'One of the greatest horror/suspense films ever!', 'Hithcock masterpiece in his most accomplished and perfect movie', 'Tight and Terrifying', 'Perkins Is Remarkable', 'Hitchcock did it all in this one.', 'This is what good movies are all about.', 'Perkins Irreplaceable?', ""Hitch's masterwork"", 'Chills! Thrilling to the end!', 'The Perkins Factor', 'It was a dark and stormy night...', 'Hitchcock at his scariest', 'Cleaning Up After Mom', ""Two Words: Hitchcock's Best (...and you know that's no small feat!)"", 'An unforgettable masterpiece', 'Hitchcock\'s ""Crazy"" Film!', 'One of the best movies ever made!']"
The Shawshank Redemption,"[""Some birds aren't meant to be caged."", 'An incredible movie. One that lives with you.', ""Don't Rent Shawshank."", 'This is How Movies Should Be Made', 'A classic piece of unforgettable film-making.', 'the shawshank redemption', 'The Shawshank Redemption', 'Eternal Hope', ""Stephen King's best adapted movie"", 'Enthralling, fantastic, intriguing, truly remarkable!', 'IMDb and the Greatest Film of All Time', 'All-time prison film classic', 'My favorite movie of all time.', '""I\'m a convicted murderer who provides sound financial planning"".', 'Simply the best', 'Simply known as ""The Movie""', '""I Had To Go To Prison To Learn To Be A Crook""', ""Simply amazing. The best film of the 90's."", 'Prepare to be moved', 'Shawshank Redeems Hollywood', 'Masterpiece', 'never give up hope', 'Powerful Masterpiece', 'Hope can set you free and so can this remarkable film', 'Shawshank Redemption- Prison Film is Redeemed by Quality ****']"
The Godfather,"['The Pinnacle Of Flawless Films!', ""An offer so good, I couldn't refuse"", 'One of the best of all time.', 'For Me, This Is The Definitive Film', 'The greatest movie of all time!', 'An Iconic Film', 'Another kind of ""family movie""', ""#2 on IMDb's Top 100, a multi-Oscar-winner and over 1500 reviews...what more can I say about the movie?!"", ""I'm finding it hard to describe how amazing this movie was"", ""Initially, I wasn't a fan... but then I realised"", ""Everything you've ever heard is true..."", '""The Godfather"" is pretty much flawless, and one of the greatest films ever made', 'An Epic, Masterful Look into the Underground World', 'perfect', 'The Geatest Movie Ever Made', 'Magnificent portrait of organized crime', 'The Godfather make me an offer that I cannot refuse. This movie is a masterpiece.', 'A film of great power and a milestone in the history of the cinema', ""Why didn't I enjoy this as much I should've"", 'Amazing movie', 'A Masterpiece', 'The Don And His Sons', 'Simply the best', 'The Godfather', 'The world inside the underworld!']"
The Dark Knight,"['The Dark Knight', 'The Batman of our dreams! So much more than a comic book movie', 'A Batman Of Shakesperean Proportions', 'This town deserves a better class of criminal!', 'Watch the IMAX version if you can', ""Heath Ledger's Dark and Brilliant Swan Song"", 'Best superhero movie of all time', 'MASTERPIECE', 'Surpasses ""Begins"" in every aspect!!!', 'Perfect balance between action and drama with an unforgettable villain', 'Heath Ledger', 'The Dark Knight is as good as everyone says and easily the best superhero film made', 'Christopher Nolan back at it again.', 'Heath Ledger makes this great', '""I think you and I are destined to do this forever.""', 'Quite possibly the best all round film ever', 'The dark and sinister mood of the film really sets the theme of the movie', 'Batman at his best and beyond', 'Love this movie', 'The sequel we deserved to the Batman we wanted', 'Best. Comic. Movie. EVER.', 'Mindblowing', ""Best in it's class and much more"", 'Knock, Knock...', 'Heath Ledger is a ledgend!']"
The Godfather Part II,"['Breathtaking in its scope and tragic grandeur...', ""The Greatest Sequel During the Cinema's History"", 'Terrific continuation of the ""Godfather"" series; to call it a ""sequel"" almost seems insulting...', 'The Greatest Film Ever Made', 'Best gangster dramas of all time arguably', 'A masterpiece that can never be beaten...', '""Michael, I Never Wanted This For You.""', 'One of the greatest films ever made.', 'One of the greatest sequels ever made', 'One of the greatest movies ever made.', 'I prefer the first film, but this compares well', 'Poor Fredo! We still miss John Cazale!', '""The Godfather Part II is the greatest sequel ever made, one of the greatest films of all time and possibly finer than its superb predecessor *****""', 'To call it a sequel is a travesty', 'Better Than The Original? Maybe. Unbelievable Ride? HELL YEAH!!', 'An Insult To Call It A Sequel', 'A Masterpiece', 'My review of this film is pretty unimportant.', 'Excellent, but could be in the dictionary under ""sprawl""', 'One of the best sequels ever made', 'The original Godfather is like Spring. Watching The Godfather part 2 is like entering a never ending Winter. Part 2 is as powerful and as mesmirising, yet so saddening', 'A Hollywood Masterpiece!!!!', 'One of the saddest movies ever made', 'The Godfather Part 2', '""They\'re saps, because they risk their lives for strangers.""']"
12 Angry Men,"['Juror #4 is why this is a great film', 'The over-used term ""classic movie"" really comes into its own here!', 'One of the great theatrical examples of what makes for superb drama.', 'No Dissonance', 'What a Character-Study Is Meant to Be.', 'Dont judge by the age!', 'Brilliant, brilliant, brilliant!!', 'Terrific drama with some of the greatest actors in cinematic history', 'Excellent', 'Simple but great.', ""Should be in everyone's top ten list of greatest films of ALL TIME....."", 'An absolute must for anyone who considers themselves a film buff', 'No bombs, no car chases but edge of the seat stuff none the less', '2 thumbs up!', 'If you only ever see one Black and White movie, make this it.', 'Gripping and Irresistable', 'Flawless', 'Classic in every sense and moment and frame', ""Pardon me, but don't you ever sweat?"", 'I find this movie guilty of being a masterpiece.', '""You can\'t send someone off to die with evidence like that"".', 'The only version to see.', 'The material is slightly forced for dramatic purposes but the delivery is perfect across the board', 'Masterpiece!', 'Good script, great dialogs and a set of actors who would be the envy of the world']"
Schindler's List,"['A three hour film that feels too short', 'Awesome', 'One of the best movies ever made.', 'Bring me the heads of Hitler, Himmler, Eichmann n Mengele.', 'Whoever saves one life, saves the world entirely. ⭐', ""You don't have to be Jewish to be touched by this response to inhumanity."", ""Spielberg's most important work"", 'A SINGULAR ACHIEVEMENT', 'The most shattering film of all time.', 'What he hell is wrong with the people that commented on the 1st 4 pages of reviews???', ""Stunning; Spielberg's Greatest. Top 💯 All Time Best Films"", ""It's About Our Humanity"", ""Incredibly moving and visually disturbing, Spielburg's best by far!"", '""The list is an absolute good, the list is life...""', 'Profound Beauty! If you appreciate art, this is a masterpiece.', 'Spielberg at his best', 'Devastating', 'Color Choice = Genius', 'Based on a true story', 'Best Movie of all Time', 'Eye opening', 'the best of the Spielberg I watched', 'Amazing!', 'Emotional Release', 'The worrying amount of 1/10s is why we still need this film and holocaust movies in general']"
The Lord of the Rings: The Return of the King,"['The best trilogy in the history of cinema', 'All Good Things come to an End!', 'Still the greatest movie ever made', 'Nothing better', 'Pretty much outstanding', 'Great', 'Unprecedented.', 'They saved the best for last', 'I lived to see them all!', 'The Supreme Motion Picture of All Time...', 'The first great cinematic masterpiece of the twenty-first century.', 'I doubt there will ever be a film made of this quality again.', 'Perfect way to finish the trilogy', ""Part 3: It's Not Really the Thought that Counts"", 'A monumental film', 'My objective and unhyped view? Stunning. Simply stunning.', 'Brilliant. Simply brilliant', 'Summary: Film and extended DVD versions', 'A fantastic conclusion to a great trilogy', '""Put aside the Ranger, become who you were born to be.""', 'The greatest epic ever made', 'The Journey Ends with a Unique Movie.', 'In many ways grander in scale than the first two installments of the trilogy.', 'Awe-evoking.', 'BEST TRILOGY EVER']"
Pulp Fiction,"['Shotguns', 'The masterpiece without a message', 'The rebirth of a genre – and film history', 'A masterpiece of screenwriting', 'The most rewatchable movie of all time', 'Always has been, and always will be a personal favourite', 'One of the Funniest Movies Ever', ""It's Wild, It's Chaotic, It's Pulp Fiction!!!"", 'My Favourite Movie', 'Not overrated at all', 'Pulp Fiction', ""One of the Best Film's I've Seen In A LONG Time... and still is"", 'Ah, so by that rationale, if a pig had a better personality, he would cease to be a filthy animal. Is that true?', 'A Bit Over Rated But Good', 'Fun cult film, tad overrated', ""Tarantino's Mad, Mad, Mad, Mad World !!!"", ""I didn't get it"", 'Brilliantly constructed.', 'Iconic.', ""Everything that Once upon a time in Hollywood wasn't."", 'Unbelievable.', 'Perfect Movie', 'A Cinematic Standard. Bold Film-making. A Classic.', 'Best crazy movie ever', 'Ezekiel 25:17']"
The Lord of the Rings: The Fellowship of the Ring,"['First, And Still The Best Of LOTR', 'Thank you Mr Jackson', 'The Fellowship of the Ring: Not just a Movie, but the Door to another Dimension', 'Great', 'How the hell did they film this thing', 'Near perfect adaptation of a fantasy benchmark', 'Masterpiece', 'An absolutely incredible film!', '""Remember what Bilbo used to say, it\'s dangerous business Frodo, going out the door.""', 'An amazing beginning of the trilogy. An amazing end of the movie.', 'The Fantasy Motion Picture to Rule Them All...', 'Part One: With Help, Even the Impossible Can Be Achieved', 'Absolute game changer', 'Wow!', 'One of the best films ever made.', 'From the beginning...', 'Embrace the magic', 'One ring and three movies to rule them all.', 'We May Have Forgotten Just How Good This Is', 'RPG Game: The Movie', 'A Masterpiece', ""I Don't Know if They Could Do It Much Better"", 'Unbelievably Good That Stands The Test Of Time', 'Excellent', 'A truly exceptional film']"
"The Good, the Bad and the Ugly","[""For a girl who doesn't enjoy westerns much, this was one of the greatest films ever!"", 'Brutal, brilliant, and one of the best Westerns ever made', ""Sergio Leone's penultimate Italian-western; a film that gets better with each passing year..."", '""There are two kinds of people in this world, my friend""', 'The Good, the Better, the Best', 'the greatest of the great!', 'A Cinematic Masterpiece - And Also The Most Entertaining Western Of All Time', 'The best Western ever made', 'The King of Cool', 'Made me love Western. Brilliant! ⭐', 'Primal honesty and morality', 'What got Quentin Tarantino so damn excited...', 'film making of the highest order', ""Sergio Leone's most visionary film..."", 'The good, the better, the best.', ""Westerns don't get any better than this."", '""When you have to shoot, shoot, don\'t talk.""', 'Sergio Leone was a highly personal filmmaker!', 'Several Fistfuls of Cadavers...', 'The best cinematic meditation on greed since ""Treasure of the Sierra Madre""...', 'Roy Rogers meets the Vatican meets Kurosawa', 'Classic', 'The world is not black and white', 'Among the finest Westerns, though not for all tastes']"
Forrest Gump,"[""Let's see the world through the eyes of Forrest Gump"", 'Pure Charm', 'In my opinion, no film has touched me more than this one.....', 'Dropping My Keys', 'The role of innocence in positive thinking and thus success ...', ""Thirty years on, and it's still as wonderful."", 'A beautiful fable for now and the future', 'a box of chocolate', ""Forrest Gump is a movie masterpiece that won't be forgotten and will continue to inspire"", 'Purity and innocence retained', 'Contemporary classic: one of my all-time faves', 'Encapsulating...', 'Tom Hanks delivers an astounding performance as Forrest Gump.', 'Beautiful film', 'Mama said ...', 'Quite possibly the best movie ever made.', 'The Hand Of An Unseen Providence', ""One of the best films of the 90's"", ""Life is like a box of chocolates. You never truly know what you're gonna get. Forrest Gump is amazing!"", 'why such a low rating???', 'The zen of Forrest Gump.', ""Life's Lessons in one Movie..."", 'After 20 years, I still love Forrest Gump!', '""I just felt like running"".', 'You need to watch it again and again.']"
The Lord of the Rings: The Two Towers,"['An Epic in every sense of the word.', '""There\'s some good in this world Mr. Frodo, and it\'s worth fighting for.""', 'Great movie', 'Absolutely, totally fantastic!', 'They Accomplished the Near-Impossible.', 'Sophomore effort shines as brightly as the first.', 'A magical film.', 'My personal favourite of the trilogy', 'A standing ovation for all concerned.', 'One of The Best battle sequence.', ""Helm's Deep could be the greatest battle sequence of all time."", 'My precious...', 'My Visit To The Cinema', 'A True Fantasy Movie', 'Magnificent epic', 'Jackson remains a genius, and this series remains a masterpiece--Faithful enough to Tolkein, and a fantastic movie!', 'Hail The Heroes!', 'Fantasy greatness with one of the best sieges put on film', 'The Two Towers! What Is It? The Answer Is: My Precious!', 'Tough to put on film but came out very well', 'The Sequel That Dwarfs Its Predecessor...', 'The battle for Middle Earth is about to begin...', 'The Greatest of the Three Rings', ""FilmCreature Reviews 'The Lord of the Rings: The Two Towers'"", 'If there was a spotlight for all time movie reviews it would be this trilogy-to-be-one film']"
Fight Club,"['A great movie you can watch again and again', 'Crazy, Cult, Plot Twist, Awesome = Fight Club', 'Superb', ""Fincher's tour de force is a bruising assault on the senses"", ""It's one of the best."", 'Delightful Romantic comedy', 'Welcome to movie heaven!', 'We should actually talk about the Fight Club', 'This is why we watch movies.', 'Crazy good', 'An unpredictable movie.', 'You love it or you hate it, personally I loved it', 'The things you own end up owning you.', 'Go in completely blind', ""HOW THIS IS NOT EVERYONE'S FAVORITE MOVIE IS BESIDE ME"", ""It's Hard to Take Your Eyes Away"", 'Watch it atleast twice', 'I study philosophy but this film took me for a ride', 'Not about fighting', 'a dangerously brilliant film that entertains as well as enlightens.', 'My first review about my favorite movie...', 'This is a very important movie.', 'Life-changing Fight Club', 'A unique film', 'The first rule of Fight Club: You never talk about how over-hyped Fight Club is']"
Inception,"['A one-of-a-kind mind-blowing masterpiece!', 'Is it possible the makers understand how incredible this film is?', 'Inception was only less shocking to me than the Matrix', 'Answering all the questions with one answer: I feel guilt. ⭐', 'Generation defining.', 'Insanely Brilliant ! Nolan has outdone himself !!', 'In a Decade, ""Inception"" May Be A Religion', 'Mindcraft...', 'My number one favorite movie', 'Wait', 'Amazingly original...but also a bit overwhelming.', 'Sci-fi perfection. A truly mesmerizing film.', ""Didn't win Best Picture? WHAT?"", 'This is your first lesson in shared dreaming. Stay calm.', 'Matrix but in dreamworld? Nah.', 'Incredible-Nolan keeps improving and Inception is by far the best improvement!', 'Nolan at his most intelligent best.', 'The perfect summer blockbuster?', 'Come Back Again!', 'All right.....', ""A Potpourri of Vestiges Review: Buñuel meets Kubrick in Nolan's most ambitious venture, till date"", ""Inception; Christopher Nolan's masterpiece?"", 'Good idea lost in the noise', 'Inception? More Like Insipid', 'Thick and Unnecessarily ""Complicated""']"
Star Wars: Episode V - The Empire Strikes Back,"['All the fun of the original with a much better, darker plot', 'Excellent timeless classic, the best sequel of all time!', 'I enjoy this one more than A New Hope', 'One for All & All for One...', 'One of the best films ever made.', 'A worthy second (or 5th??) Star Wars installment, might be the best of the bunch.', 'Best Star Wars FILM', ""It's NOT the darkest of the trilogy - it's the most mature"", ""Even though he wasn't at the director's helm this time, George Lucas has done it again."", ""finest of the trilogy because Lucas didn't write the script"", 'Manages to be even better than New Hope, and that was just as brilliant', 'The best ""Star Wars"" film ever made.', 'This is among the all time great science fiction movies that is an absolute must see', 'Fantastic Sequel', 'The best movie of all Star wars', 'Darker and better than ""New hope""', 'The best film in the original trilogy.', '""It is your destiny""', 'Star Wars: Episode V - The Empire Strikes Back', ""Why can't they make them like this any more?"", 'Greatest Movie Ever', 'One of the best movies of all!', 'Outstanding follow up.', 'Masterpiece', 'Star Wars Episode 5 Empire Strike Back']"
The Matrix,"['Just wow', 'Ah yes. My first existential crisis.', 'Benchmark forever.', 'The timeless classic.', ""Agent Smith: Human beings are a disease, a cancer of this planet. You're a plague and we are the cure."", 'A watershed moment in film-making – and what a kick-ass masterpiece', 'One of the best action sci fi action movies of all time!', 'a masterpiece', 'Immensely entertaining, intriguingly philosophical and just about one of the best films ever made!', 'The Matrix Is one of the best Classic Sci-Fi Action Film ever', 'A sci-fi action thriller milestone', 'One of my favorites', 'So well written that makes you questioning the reality. ⭐', ""20 years on from release, some random thoughts on revisiting The Matrix. Spoiler: It's still brilliant."", 'Still hip as heck even after 20 years', 'Exhilarating 4DX profound experience!', '...it is not the spoon that bends, it is only yourself.', 'at last, something I can recommend', 'The world of computers', 'Welcome to the Real World.', 'Matrix - one of the greatest ever - in same league as The Shawshank Redemption & Interstellar', 'What is the Matrix? Well, one of the best films ever, for one thing...', 'The benchmark for all sci-fi films to come', 'Wow! I Finally Saw It!', 'Almost my favorite movie ever! The metaphors/quotes should be more known!']"
Goodfellas,"['In one word: perfection', ""An Offer You Can't Refuse..."", 'The best mobster film ever made', 'A great director at the peak of his talents', 'One word: priceless', 'The greatest mob film still today', 'The Definitive Film of the 1990s', 'The Criminal Mindset', ""Simply a masterpiece. Scorsese's last truly great movie (to date)."", 'The Mob...Revealed', ""Martin Scorsese's masterpiece."", 'Slightly disappointed but still very good', 'A classic. Durp.', 'Aged like a fine wine', 'Iconic', ""Scorsese's best"", ""As good as those fellas are...I just don't get it"", 'Instant classic', 'A classic mobster film.', 'Classic modern day gangster film', ""Scorsese's masterpiece stands the test of time"", 'Italian Storytelling', 'Rightfully hailed as one of the greatest gangster epics of all time', 'A Masterpiece That Gets Better With Each New Viewing', 'Slick, flashy, often brilliant, yet cannot make you give a hoot about its characters']"
One Flew Over the Cuckoo's Nest,"['The spirit of freedom vs. the spirit of legal-ism', 'Both uplifting and disheartening, sometimes both at once', 'Touching and moving, a great cinematic experience', '""What an excellent movie"" is all that went through my mind after seeing this masterpiece', 'A masterpiece', ""Poetic - Powerful - Simple: The Greatness of Cuckoo's Nest."", 'Jack Nicholson at his finest', 'Jack Nicholson Finally Wins the Oscar', 'Best film of its era', 'One of the greatest of all time.', 'A great order vs. chaos tale that everyone can relate to', 'A perfect mixture of entertainment and drama.', 'You have to be crazy to hate this movie! This movie is a masterpiece', ""It's not that easy"", 'Extraordinary', 'The Ultimate Backfire', 'One Flew Over One of the Best Movies Ever Made!!! (And that person was me)', 'Cool Hand Jack', 'One of the Greatest Ever Made', 'Get Mad If You Want To! This Is Very Realistic!', 'One of the Last Anti-Establishment Films of the 1970s', 'Storytelling that Imprisons', 'Now I know why they closed?', 'A wonderful film', ""I'm not stuck in here with you, you're stuck in here with me!""]"
